version,1,CWL,reserved,reserved,reserved,reserved
China,2G0JJLBQ,,Paradox,YPGC02P9,,CWL
15,,,,,,
2019/02/02,,,,,,
1,Blackhawk,12,LVRYJQG,,11,
2,Sgt Baker,12,QJLUV9LC,,11,
3,Scott_218,12,UUYYPYC9,,11,
4,Fergus Maximus,12,YJUP908U,,11,
5,James,12,2PJUGPCPV,,11,
6,Sjcsan,12,2UV9CCCG,,11,
7,Chaz,12,20RGCJCR,,11,
8,ZeroGage,12,LQCVQJ9G,,11,
9,Christ,12,LYUR99QL,,11,
10,Eddie,12,JUY29GYY,,11,
11,Anna,12,9QPV9VGY,,11,
12,Celebpi,12,QGR0CCQR,,11,
13,Andrew,12,C8LRG2UL,,11,
14,G Squad,12,JJPVG0GJ,,11,
15,Delivering Chaos,12,YRVGGUG8,,11,
1,3,100,4,4,,
2,3,100,12,12,,
3,3,100,5,5,,
4,3,100,7,7,,
5,3,100,3,2,,
6,3,100,10,3,,
7,3,100,15,8,,
8,3,100,9,9,,
9,3,100,14,14,,
10,3,100,11,11,,
11,3,100,13,6,,
12,3,100,2,10,,
13,3,100,6,13,,
14,,,15,10,0,30
15,,,11,3,1,30
16,2,69,1,1,,
17,,,15,8,2,72
18,3,100,8,15,,
19,,,9,6,1,24
20,,,11,5,0,13
21,,,11,11,1,16
22,,,11,12,1,9
23,,,6,15,1,23
24,,,11,2,1,17
25,,,11,9,1,8
26,,,11,4,1,10
27,,,11,7,1,8
28,,,11,1,1,28
